"status","old_path","new_path","product_slug","product_title","source_field","in_sitemap"
"ready","/al1n160","/product?slug=al1-160","al1-160","Антенна локомотивная АЛ1/160","source_url","yes"
"ready","/al1n160h","/product?slug=al1-160-n","al1-160-n","Антенна локомотивная АЛ1/160/Н","source_url","yes"
"ready","/al2_450-2700_h-050","/product?slug=al2-450-2700-n-050","al2-450-2700-n-050","Антенна локомотивная АЛ2/450-2700/Н-050","source_url","yes"
"ready","/al2_450-2700_h-057","/product?slug=al2-450-2700-n-057","al2-450-2700-n-057","Антенна локомотивная АЛ2/450-2700/Н-057","source_url","yes"
"ready","/al2_450-2700_mimo","/product?slug=al2-450-2700-mimo","al2-450-2700-mimo","Антенна локомотивная АЛ2/450-2700/MIMO","source_url","yes"
"ready","/al2_450-2700_mimo_h","/product?slug=al2-450-2700-mimo-n","al2-450-2700-mimo-n","Антенна локомотивная АЛ2/450-2700/MIMO/Н","source_url","yes"
"ready","/al2_460_900","/product?slug=al2-460-900","al2-460-900","Антенна локомотивная АЛ2/460/900","source_url","yes"
"ready","/al2_460_900h","/product?slug=al2-460-900-n","al2-460-900-n","Антенна локомотивная АЛ2/460/900/Н","source_url","yes"
"ready","/al2n160","/product?slug=al2-160","al2-160","Антенна локомотивная АЛ2/160","source_url","yes"
"ready","/al2n160h","/product?slug=al2-160-n","al2-160-n","Антенна локомотивная АЛ2/160/Н","source_url","yes"
"ready","/al2n160sl900-2500h","/product?slug=al2-160-900-2500-n","al2-160-900-2500-n","Антенна локомотивная АЛ2/160/900-2500/Н","source_url","yes"
"ready","/al3_160_h-058","/product?slug=al3-160-n-058","al3-160-n-058","Антенна локомотивная АЛ3/160/Н-058","source_url","yes"
"ready","/al3_160_h-059","/product?slug=al3-160-n-059","al3-160-n-059","Антенна локомотивная АЛ3/160/Н-059","source_url","yes"
"ready","/al3_800-3400","/product?slug=al3-800-3400","al3-800-3400","Антенна локомотивная АЛ3/800-3400","source_url","yes"
"ready","/al3_800-3400_h","/product?slug=al3-800-3400-n","al3-800-3400-n","Антенна локомотивная АЛ3/800-3400/Н","source_url","yes"
"ready","/al3_800-3400_mimo_h","/product?slug=al3-800-3400-mimo-n","al3-800-3400-mimo-n","Антенна локомотивная АЛ3/800-3400/MIMO/Н","source_url","yes"
"ready","/alm_2130","/product?slug=alm-2-130","alm-2-130","Антенна локомотивная АЛМ/2.130","source_url","yes"
"ready","/as-01","/product?slug=as-01","as-01","Комплект пультов управления АС-01","source_url","yes"
"ready","/df-160_r6k","/product?slug=df-160-r6k","df-160-r6k","Дуплексный фильтр ДФ-160/Р6К","source_url","yes"
"ready","/df-160/r8k","/product?slug=df-160-r8k","df-160-r8k","Дуплексный фильтр ДФ-160/Р8К","source_url","yes"
"ready","/ibpfifteen","/product?slug=ibp-15-kva","ibp-15-kva","Источник бесперебойного питания ИБП 15 кВА","catalog_url","yes"
"ready","/ibpfourty","/product?slug=ibp-40-kva","ibp-40-kva","Источник бесперебойного питания ИБП 40 кВА","catalog_url","yes"
"ready","/ibphundred","/product?slug=ibp-100-kva","ibp-100-kva","Источник бесперебойного питания ИБП 100 кВА","catalog_url","yes"
"pilot_done","/ibpten","/product?slug=ibp-10-kva","ibp-10-kva","Источник бесперебойного питания ИБП 10 кВА","catalog_url","yes"
"ready","/ibptwentyfive","/product?slug=ibp-25-kva","ibp-25-kva","Источник бесперебойного питания ИБП 25 кВА","catalog_url","yes"
"ready","/ibptwohundred","/product?slug=ibp-200-kva","ibp-200-kva","Источник бесперебойного питания ИБП 200 кВА","catalog_url","yes"
"ready","/konlok","/product?slug=kompleks-2-konlok","kompleks-2-konlok","Комплекс-2 КОНЛОК","source_url","yes"
"ready","/products/blok-podachi-pitaniya-bpp-mtso-2","/product?slug=blok-podachi-pitaniya-bpp-mtso-2","blok-podachi-pitaniya-bpp-mtso-2","Блок подачи питания","sitemap_slug_match","yes"
"ready","/products/blok-upravleniya-kondicionerom-buk-1-mtso-2","/product?slug=blok-upravleniya-kondicionerom-buk-1-mtso-2","blok-upravleniya-kondicionerom-buk-1-mtso-2","Блок управления кондиционером 1","sitemap_slug_match","yes"
"ready","/products/blok-upravleniya-kondicionerom-buk-2-mtso-2","/product?slug=blok-upravleniya-kondicionerom-buk-2-mtso-2","blok-upravleniya-kondicionerom-buk-2-mtso-2","Блок управления кондиционером 2","sitemap_slug_match","yes"
"ready","/products/blok-vyklyuchatelya-massy-bvm-mtso-2","/product?slug=blok-vyklyuchatelya-massy-bvm-mtso-2","blok-vyklyuchatelya-massy-bvm-mtso-2","Блок выключателя массы","sitemap_slug_match","yes"
"ready","/products/ekskavatornoe-komplektnoe-raspredelitelnoe-ustrotvo-ekru-6","/product?slug=raspredelitelnoe-ustrojstvo-ekru-6","raspredelitelnoe-ustrojstvo-ekru-6","Распределительное устройство ЭКРУ-6","source_url","yes"
"ready","/products/elektricheskij-shkaf-a11-ss-pom","/product?slug=elektricheskij-shkaf-a11-ss-pom","elektricheskij-shkaf-a11-ss-pom","Электрический шкаф А11 СС-ПОМ","source_url","yes"
"ready","/products/elektricheskij-shkaf-a12-ss-pom","/product?slug=elektricheskij-shkaf-a12-ss-pom","elektricheskij-shkaf-a12-ss-pom","Электрический шкаф А12 СС-ПОМ","source_url","yes"
"ready","/products/komplekt-pultov-motovoza-transportnogo-gidravlicheskogo-mtg-2","/product?slug=komplekt-pultov-motovoza-transportnogo-gidravlicheskogo-mtg-2","komplekt-pultov-motovoza-transportnogo-gidravlicheskogo-mtg-2","Комплект пультов мотовоза транспортного гидравлического МТГ-2","source_url","no"
"ready","/products/komplekt-pultov-stabilizatora-puti-pricepnogo-spp","/product?slug=komplekt-pultov-stabilizatora-puti-pricepnogo-spp","komplekt-pultov-stabilizatora-puti-pricepnogo-spp","Комплект пультов стабилизатора пути прицепного СПП","source_url","no"
"ready","/products/komplekt-pultov-upravleniya-dlya-putevoj-mashiny-asg-30p","/product?slug=komplekt-pultov-upravleniya-dlya-putevoj-mashiny-asg-30p","komplekt-pultov-upravleniya-dlya-putevoj-mashiny-asg-30p","Комплект пультов управления для путевой машины АСГ-30П","source_url","no"
"ready","/products/kreslo-mashinista-km-nkue-10mk","/product?slug=kreslo-mashinista-km-nkue-10mk","kreslo-mashinista-km-nkue-10mk","Кресло машиниста КМ НКУЭ-10МК","source_url","no"
"ready","/products/kreslo-mashinista-km-nkue-3","/product?slug=kreslo-mashinista-km-nkue-3","kreslo-mashinista-km-nkue-3","Кресло машиниста КМ НКУЭ-3","source_url","yes"
"ready","/products/kreslo-mashinista-km-nkue-3s","/product?slug=kreslo-mashinista-km-nkue-3s","kreslo-mashinista-km-nkue-3s","Кресло машиниста КМ НКУЭ-3С","source_url","yes"
"ready","/products/kreslo-pult-nkue-10mk","/product?slug=kreslo-pult-nkue-10mk","kreslo-pult-nkue-10mk","Кресло-пульт НКУЭ-10МК","source_url","no"
"ready","/products/monoblok-vvodnogo-i-raspredelitelnyh-av-tes-1400","/product?slug=monoblok-vvodnogo-i-raspredelitelnyh-av-tes-1400","monoblok-vvodnogo-i-raspredelitelnyh-av-tes-1400","Моноблок вводного и распределительных АВ ТЭС-1400","source_url","no"
"ready","/products/panel-silovaya-1-sekciya-2-shchom-2000","/product?slug=panel-silovaya-1-sekciya-2-shchom-2000","panel-silovaya-1-sekciya-2-shchom-2000","Панель силовая №1 секция №2 ЩОМ-2000","source_url","no"
"ready","/products/panel-silovaya-2-sekciya-2-shchom-2000","/product?slug=panel-silovaya-2-sekciya-2-shchom-2000","panel-silovaya-2-sekciya-2-shchom-2000","Панель силовая №2 секция №2 ЩОМ-2000","source_url","no"
"ready","/products/panel-silovaya-sekciya-1-shchom-2000","/product?slug=panel-silovaya-sekciya-1-shchom-2000","panel-silovaya-sekciya-1-shchom-2000","Панель силовая секция №1 ЩОМ-2000","source_url","no"
"ready","/products/panel-transformatorov-shchom-2000","/product?slug=panel-transformatorov-shchom-2000","panel-transformatorov-shchom-2000","Панель трансформаторов ЩОМ-2000","source_url","no"
"ready","/products/panel-upravleniya-sekciya-1-shchom-2000","/product?slug=panel-upravleniya-sekciya-1-shchom-2000","panel-upravleniya-sekciya-1-shchom-2000","Панель управления секция №1 ЩОМ-2000","source_url","no"
"ready","/products/panel-upravleniya-sekciya-2-shchom-2000","/product?slug=panel-upravleniya-sekciya-2-shchom-2000","panel-upravleniya-sekciya-2-shchom-2000","Панель управления секция №2 ЩОМ-2000","source_url","no"
"ready","/products/panel-vvoda-sekciya-1-shchom-2000","/product?slug=panel-vvoda-sekciya-1-shchom-2000","panel-vvoda-sekciya-1-shchom-2000","Панель ввода секция №1 ЩОМ-2000","source_url","no"
"ready","/products/panel-vvoda-sekciya-2-shchom-2000","/product?slug=panel-vvoda-sekciya-2-shchom-2000","panel-vvoda-sekciya-2-shchom-2000","Панель ввода секция №2 ЩОМ-2000","source_url","no"
"ready","/products/panel-vygrebnoj-cepi-levaya-shchom-2000","/product?slug=panel-vygrebnoj-cepi-levaya-shchom-2000","panel-vygrebnoj-cepi-levaya-shchom-2000","Панель выгребной цепи левая ЩОМ-2000","source_url","no"
"ready","/products/panel-vygrebnoj-cepi-pravaya-shchom-2000","/product?slug=panel-vygrebnoj-cepi-pravaya-shchom-2000","panel-vygrebnoj-cepi-pravaya-shchom-2000","Панель выгребной цепи правая ЩОМ-2000","source_url","no"
"ready","/products/paneli-p1-p2-p3-nkue-3","/product?slug=paneli-p1-p2-p3-nkue-3","paneli-p1-p2-p3-nkue-3","Панели П1-3 НКУЭ-3","source_url","no"
"ready","/products/pult-mashinista-pm-nkue-10mk","/product?slug=pult-mashinista-pm-nkue-10mk","pult-mashinista-pm-nkue-10mk","Пульт машиниста ПМ НКУЭ-10МК","source_url","no"
"ready","/products/pult-mashinista-pm-nkue-3","/product?slug=pult-mashinista-pm-nkue-3","pult-mashinista-pm-nkue-3","Пульт машиниста ПМ НКУЭ-3","source_url","yes"
"ready","/products/pult-mashinista-pm-nkue-3s","/product?slug=pult-mashinista-pm-nkue-3s","pult-mashinista-pm-nkue-3s","Пульт машиниста ПМ НКУЭ-3С","source_url","yes"
"ready","/products/pult-naladchika-pn-nkue-3","/product?slug=pult-naladchika-pn-nkue-3","pult-naladchika-pn-nkue-3","Пульт наладчика ПН НКУЭ-3","source_url","yes"
"ready","/products/pult-upravleniya-golovnoj-sekcii-snegouborochnoj-mashiny-pu-gm-sm-2","/product?slug=pult-upravleniya-golovnoj-sekcii-snegouborochnoj-mashiny-pu-gm-sm-2","pult-upravleniya-golovnoj-sekcii-snegouborochnoj-mashiny-pu-gm-sm-2","Пульт управления головной секции снегоуборочной машины ПУ ГМ СМ-2","source_url","no"
"ready","/products/pult-upravleniya-koncevogo-poluvagona-snegouborochnoj-mashiny-pu-kp-sm-2","/product?slug=pult-upravleniya-koncevogo-poluvagona-snegouborochnoj-mashiny-pu-kp-sm-2","pult-upravleniya-koncevogo-poluvagona-snegouborochnoj-mashiny-pu-kp-sm-2","Пульт управления концевого полувагона снегоуборочной машины ПУ КП СМ-2","source_url","no"
"ready","/products/pult-upravleniya-levyj-dlya-vpo-s","/product?slug=pult-upravleniya-levyj-vpo-s","pult-upravleniya-levyj-vpo-s","Пульт управления левый ВПО-С","source_url","yes"
"ready","/products/pult-upravleniya-nkue-3","/product?slug=pult-upravleniya-nkue-3","pult-upravleniya-nkue-3","Пульт управления НКУЭ-3","source_url","no"
"ready","/products/pult-upravleniya-pravyj-vpo-s","/product?slug=pult-upravleniya-pravyj-vpo-s","pult-upravleniya-pravyj-vpo-s","Пульт управления правый ВПО-С","source_url","yes"
"ready","/products/pult-upravleniya-pu-pk-ms-700t","/product?slug=pult-upravleniya-pu-pk-ms-700t","pult-upravleniya-pu-pk-ms-700t","Пульт управления ПУ ПК МС-700Т","source_url","yes"
"ready","/products/pult-upravleniya-pu-zk-ms-700t","/product?slug=pult-upravleniya-pu-zk-ms-700t","pult-upravleniya-pu-zk-ms-700t","Пульт управления ПУ ЗК МС-700Т","source_url","yes"
"ready","/products/shchit-upravleniya-shchu-mtso-2","/product?slug=shchit-upravleniya-shchu-mtso-2","shchit-upravleniya-shchu-mtso-2","Щит управления","sitemap_slug_match","yes"
"ready","/products/shchit-upravleniya-shu-vpo-s","/product?slug=shchit-upravleniya-shchu-vpo-s","shchit-upravleniya-shchu-vpo-s","Щит управления ЩУ ВПО-С","source_url","yes"
"ready","/products/shkaf-a10-mpv","/product?slug=shkaf-a10-mpv","shkaf-a10-mpv","Шкаф А10 МПВ","source_url","yes"
"ready","/products/shkaf-a17-mpv","/product?slug=shkaf-a17-mpv","shkaf-a17-mpv","Шкаф А17 МПВ","source_url","yes"
"ready","/products/shkaf-a18-mpv","/product?slug=shkaf-a18-mpv","shkaf-a18-mpv","Шкаф А18 МПВ","source_url","yes"
"ready","/products/shkaf-a24-mpv","/product?slug=shkaf-a24-mpv","shkaf-a24-mpv","Шкаф А24 МПВ","source_url","yes"
"ready","/products/shkaf-a25-mpv","/product?slug=shkaf-a25-mpv","shkaf-a25-mpv","Шкаф А25 МПВ","source_url","yes"
"ready","/products/shkaf-a26-mpv","/product?slug=shkaf-a26-mpv","shkaf-a26-mpv","Шкаф А26 МПВ","source_url","yes"
